epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
173,2.19084882,1.08826858,0.44213109,0.01594081,0.02264502,0.00581242,0.00665634,0.00629663,0.00643577,0.00682468
174,2.1919465,1.08280011,0.4382111,0.01432231,0.02330516,0.004811,0.00633545,0.00659087,0.00616242,0.00618435
175,2.19346548,1.09272496,0.43805136,0.01424258,0.02303854,0.00627773,0.00706012,0.00584052,0.00590944,0.00657905
176,2.18535257,1.08152565,0.43479827,0.01476418,0.02301462,0.00536463,0.00540117,0.00662445,0.00591986,0.00586045
177,2.18522183,1.0759801,0.43196625,0.01325435,0.02241094,0.00506822,0.00630677,0.00639383,0.00623825,0.0065297
178,2.17573208,1.07089833,0.42629798,0.01369315,0.02152093,0.00479635,0.00528482,0.00558331,0.00591691,0.00548655
179,2.17818744,1.07325918,0.42818153,0.01251421,0.02228931,0.00529,0.00574112,0.0054734,0.00559574,0.00504906
180,2.18054437,1.07710412,0.42542923,0.01338997,0.02290698,0.00530277,0.00556379,0.00558552,0.00524098,0.00562868
181,2.18440617,1.07216411,0.42557032,0.01260571,0.02148135,0.0050514,0.00487543,0.00520935,0.00494149,0.00503523
182,2.18239497,1.06567093,0.4189443,0.01348514,0.02162269,0.0048958,0.00501983,0.00532859,0.00504034,0.00491723
183,2.18364246,1.07361659,0.42177073,0.01225434,0.02170949,0.00506014,0.00500671,0.00493982,0.00546579,0.00551975
184,2.1827232,1.06564949,0.4186387,0.01249787,0.02078558,0.0047789,0.0047656,0.00453455,0.00513031,0.00537696
185,2.18337922,1.07536455,0.41904867,0.01142562,0.02053934,0.00456186,0.00463095,0.00490453,0.0054273,0.00452727
186,2.17952407,1.06746681,0.41335483,0.01199655,0.01957638,0.00428985,0.00449115,0.00511533,0.00526026,0.00486811
187,2.17532792,1.06201659,0.41824509,0.01176833,0.01957469,0.00439403,0.00436052,0.00447534,0.0049431,0.00459194
188,2.17155952,1.06471682,0.4153178,0.01204384,0.02122231,0.00400089,0.00421552,0.00476839,0.00511848,0.00418987
189,2.17164297,1.06195077,0.41333575,0.01204417,0.02112852,0.00389364,0.00473109,0.00502011,0.0049907,0.00445141
190,2.17350354,1.05441652,0.41378639,0.0110889,0.01892208,0.00391341,0.00501262,0.00454084,0.0053153,0.00414125
191,2.17338054,1.06236415,0.41607443,0.01139739,0.02000459,0.00391399,0.00489859,0.00463907,0.00478065,0.00418896
192,2.16941495,1.06059333,0.40828828,0.01120737,0.01959652,0.00430923,0.00439564,0.0047532,0.0049211,0.00451874
193,2.16767972,1.05253086,0.41461332,0.0108419,0.02012026,0.00417602,0.00501065,0.00502952,0.00459656,0.00425937
194,2.16988632,1.04748763,0.40724211,0.01034515,0.01954101,0.00407355,0.0041549,0.00454265,0.00422176,0.00382984
195,2.17440883,1.05573359,0.4093899,0.0102239,0.02051745,0.00400451,0.00455759,0.00469613,0.00463787,0.00445601
196,2.16802476,1.05279911,0.4092326,0.01166203,0.01767477,0.00390548,0.00377612,0.0044341,0.00426936,0.00422881
197,2.17078398,1.05118103,0.41219098,0.01146991,0.01976083,0.00480795,0.00362752,0.00437544,0.00489387,0.00455251
198,2.1734649,1.06001365,0.41170365,0.01127829,0.01907525,0.00360131,0.0045544,0.00405448,0.00449324,0.00374514
199,2.16850695,1.05256378,0.40818744,0.0104907,0.02014927,0.00399836,0.00429117,0.0040152,0.00431207,0.00420746
200,2.17079726,1.05777515,0.40743312,0.01129477,0.01934275,0.00444808,0.00494361,0.00467408,0.00479437,0.00411449
