epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
133,2.46387126,1.69881735,1.0846916,0.09676029,0.03580071,0.02447211,0.02753549,0.02954654,0.02908754,0.03058003
134,2.46149393,1.69377686,1.0800732,0.09204295,0.03517399,0.02269139,0.02488902,0.02482606,0.02860885,0.02878597
135,2.45855649,1.69195896,1.07025175,0.09120035,0.03496697,0.02177903,0.02453344,0.02634289,0.02608934,0.02850447
136,2.44969605,1.68360385,1.0607178,0.08564205,0.03415589,0.02015564,0.02410501,0.02666418,0.02390362,0.02911007
137,2.44926156,1.67918305,1.05688412,0.08342496,0.03281215,0.02062805,0.02343026,0.02733859,0.02407161,0.02634215
138,2.44249631,1.67449222,1.04950486,0.07824364,0.03253517,0.01836351,0.02136675,0.02291854,0.02523376,0.02457009
139,2.43031474,1.66877029,1.03781826,0.0818358,0.03175385,0.01791717,0.02201499,0.02335406,0.02368668,0.02366711
140,2.44301355,1.66379374,1.03085247,0.07860893,0.02769717,0.01560499,0.02130501,0.02148621,0.02286594,0.02206195
141,2.43806204,1.65145847,1.02230409,0.07204646,0.02859551,0.01710357,0.02212733,0.02172215,0.02145269,0.0220525
142,2.43198042,1.64693586,1.01270689,0.07038257,0.02627155,0.01615684,0.01958099,0.02103,0.01999794,0.02251989
143,2.4326104,1.64698617,1.00473233,0.06841228,0.02416634,0.01483086,0.01790839,0.01949565,0.01924694,0.01997618
144,2.42648601,1.64145815,1.00278922,0.06663375,0.02560928,0.01503628,0.01738121,0.01996128,0.02047959,0.02059618
145,2.42447198,1.63346499,0.99753757,0.06603534,0.02222436,0.01453676,0.01810194,0.01857548,0.02019603,0.01954834
146,2.41737743,1.62497489,0.98944201,0.06311016,0.02397274,0.01306082,0.01575663,0.0177349,0.01851635,0.01905851
147,2.42247468,1.62586257,0.98512426,0.06165069,0.02322841,0.01191363,0.01624914,0.01666195,0.01658838,0.01706533
148,2.41718196,1.62213041,0.97658976,0.05839245,0.02243585,0.01296035,0.01577577,0.01638954,0.01546497,0.01646396
149,2.41406257,1.6194234,0.97618033,0.05992995,0.02389357,0.01206417,0.01520072,0.01641045,0.01623632,0.01600892
150,2.40953422,1.60612827,0.96496794,0.05690032,0.0229301,0.01214555,0.0124907,0.01477456,0.01567108,0.0147703
151,2.40536858,1.60728335,0.95708037,0.05172847,0.02236818,0.01155098,0.01305277,0.01431154,0.01519911,0.01328494
152,2.40875507,1.60401442,0.96213572,0.05253658,0.02065721,0.01053892,0.01314013,0.01474334,0.01231933,0.01432494
153,2.40418152,1.59932216,0.94885141,0.0500324,0.01722977,0.0103512,0.01166965,0.01399132,0.0136872,0.01434972
154,2.40066241,1.59264292,0.94641008,0.04855121,0.01816643,0.01100612,0.01190255,0.01319646,0.0136799,0.01303279
155,2.40089479,1.59300641,0.94111958,0.04808203,0.01839254,0.00975688,0.01130657,0.01143991,0.0118467,0.01240987
156,2.39863454,1.59192847,0.93486716,0.04753331,0.01862859,0.00961991,0.01165058,0.01180152,0.01175547,0.01147738
157,2.39036869,1.57811769,0.9289046,0.04440484,0.01673315,0.00817309,0.00997197,0.01097299,0.01197951,0.01167503
158,2.39880487,1.58233117,0.92628266,0.04404893,0.01611555,0.00923406,0.01069188,0.01118765,0.01111257,0.01202699
159,2.39384505,1.57154401,0.91764062,0.04390361,0.01544863,0.0076355,0.00970362,0.01168891,0.01110554,0.01096098
160,2.38863918,1.57333554,0.91361311,0.04000909,0.01554595,0.00789843,0.0100493,0.00950381,0.00928324,0.01077826
161,2.38842638,1.57201537,0.9110784,0.03966557,0.01582998,0.00754642,0.00803991,0.0100666,0.01014969,0.00938611
