epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
142,0.8764598,0.47507169,0.30885132,0.05310191,0.03504944,0.02783415,0.03463179,0.03832819,0.03885573,0.04322132
143,0.8704735,0.47330528,0.30645436,0.0572553,0.03245565,0.02754959,0.03555393,0.03701782,0.03772971,0.03906466
144,0.87006602,0.47037728,0.30302262,0.05013967,0.03373898,0.02735607,0.03373235,0.03732155,0.03324078,0.03914318
145,0.86715718,0.46407179,0.30018631,0.04928172,0.03394789,0.02611984,0.03211422,0.03321369,0.03346454,0.03498396
146,0.87164236,0.46416509,0.29857914,0.04765286,0.03476058,0.02610124,0.0296834,0.03229094,0.03233302,0.0357878
147,0.87089832,0.46395256,0.29967673,0.04774975,0.03192556,0.02504587,0.03022265,0.03131637,0.03437844,0.0354881
148,0.86362139,0.45983629,0.29814205,0.04587615,0.02995459,0.02339291,0.02921475,0.03332461,0.0326112,0.0351223
149,0.86444033,0.46276852,0.29548623,0.04595178,0.0296037,0.02424636,0.02966745,0.02989219,0.02991303,0.03296271
150,0.86262101,0.4603161,0.2896928,0.04641395,0.02948488,0.02280311,0.02810393,0.03123351,0.03307285,0.03408077
151,0.85996657,0.45700277,0.29046177,0.04387561,0.02858847,0.02327199,0.02609587,0.03100947,0.03039887,0.03150655
152,0.86199498,0.45553912,0.28815702,0.04455781,0.02554317,0.02165856,0.02512314,0.02906872,0.02659184,0.03073689
153,0.86029135,0.45209708,0.28675288,0.0390786,0.02729897,0.02036175,0.02437377,0.0265589,0.02610201,0.0337026
154,0.86278818,0.45089849,0.28671415,0.04088974,0.02624153,0.01958247,0.02468115,0.02726906,0.02815494,0.03002827
155,0.85812135,0.44499406,0.28424837,0.04148212,0.02551463,0.01701788,0.02353353,0.02462089,0.02650923,0.02985268
156,0.85374081,0.4477549,0.27773025,0.03988756,0.02531481,0.01895344,0.02438191,0.02531109,0.02648832,0.02967927
157,0.85380754,0.45028706,0.28438348,0.03985082,0.02441564,0.0183495,0.02250034,0.02411361,0.02784711,0.02709429
158,0.85453688,0.44330705,0.28034217,0.03611099,0.02484819,0.01853584,0.02480886,0.02508993,0.02570134,0.02606784
159,0.84883757,0.4418604,0.27550976,0.03397371,0.02205183,0.01816222,0.02141106,0.02173084,0.02280968,0.02607097
160,0.85210407,0.44280966,0.27799257,0.03685969,0.02083687,0.0197039,0.02261715,0.0238546,0.02325493,0.02805916
161,0.85348157,0.43977718,0.27411927,0.03399148,0.02159304,0.0171475,0.02133232,0.02371369,0.02359806,0.02535656
162,0.84945232,0.44085906,0.27291059,0.03337963,0.01939818,0.01514543,0.02152623,0.02145389,0.02220034,0.0251427
163,0.84734248,0.44369813,0.27226886,0.03319238,0.02002782,0.0149426,0.02086897,0.02027915,0.02078987,0.02289887
164,0.84875687,0.43751083,0.27124954,0.03283281,0.01978966,0.01531694,0.01896667,0.02053501,0.02163688,0.02380214
165,0.85600512,0.43753306,0.26892324,0.03188781,0.02002222,0.01536739,0.01902778,0.02080687,0.02050694,0.02179658
166,0.84330727,0.43318182,0.26541381,0.02954485,0.0184734,0.01492812,0.01641542,0.02025467,0.02022528,0.02276881
167,0.84988492,0.4288276,0.26583955,0.03056882,0.01751562,0.01494417,0.01759858,0.02118138,0.01843841,0.02100958
168,0.84368313,0.43268526,0.26454563,0.03079688,0.01744974,0.01364002,0.01703821,0.01864132,0.02117215,0.02000812
169,0.84065188,0.42916788,0.26628438,0.02865101,0.01656475,0.01188743,0.01660985,0.01723489,0.01844254,0.02076281
170,0.84103874,0.42787843,0.26050725,0.02914784,0.01726218,0.01447073,0.01623186,0.01869378,0.01728231,0.02026103
171,0.84122438,0.42646934,0.257841,0.02897835,0.01573532,0.0134449,0.01623554,0.01767244,0.01766634,0.01997505
172,0.83887105,0.42392627,0.26088688,0.0266177,0.01575589,0.01126155,0.01516384,0.01802345,0.01791023,0.01971477
173,0.84100762,0.42492048,0.25770241,0.0253236,0.01657941,0.01111391,0.01501167,0.01622831,0.01687711,0.02077642
174,0.83591204,0.42081103,0.25966119,0.02669268,0.01506318,0.01220926,0.0141791,0.01580449,0.01781721,0.01971216
175,0.83757187,0.42252482,0.25590384,0.02515313,0.01539744,0.01066071,0.01408996,0.01713623,0.01572874,0.02005448
176,0.84264078,0.4231768,0.25326112,0.02339119,0.01665014,0.0107588,0.01481456,0.01573184,0.01506498,0.0195413
177,0.83774656,0.41836172,0.25339927,0.02444139,0.01461569,0.01139997,0.0151543,0.01443906,0.01571738,0.01742102
178,0.83623838,0.42214803,0.25573117,0.02265044,0.01439144,0.01117706,0.01169813,0.01485763,0.01466344,0.01784483
179,0.83535862,0.4166543,0.25094404,0.02315721,0.01405157,0.01123152,0.01266404,0.01600722,0.01471118,0.01751886
180,0.84180433,0.41959048,0.25311737,0.02419509,0.01382579,0.01099119,0.013854,0.01440252,0.01376631,0.01631149
181,0.82931539,0.4141013,0.2476951,0.02387505,0.01268781,0.00949311,0.01347826,0.01449711,0.01460833,0.01675367
182,0.82962994,0.41968871,0.25308266,0.02248892,0.01358463,0.00992321,0.01222167,0.0152528,0.01515428,0.01766478
183,0.82922674,0.41906684,0.25174101,0.02204826,0.01202259,0.00910866,0.01354093,0.01409757,0.01473736,0.01673462
184,0.83163861,0.41294613,0.24981498,0.02442983,0.01293407,0.01097523,0.01094523,0.01398928,0.01529255,0.01610642
185,0.83200516,0.41673694,0.24955286,0.02203388,0.01273428,0.01048434,0.0129062,0.0134298,0.01371239,0.01653092
186,0.83144018,0.41327971,0.24627878,0.02190386,0.0128206,0.00798452,0.01190764,0.01360524,0.01481301,0.01501807
187,0.83157602,0.41479349,0.24849801,0.02299184,0.01241045,0.0097872,0.01151989,0.0139916,0.01398311,0.01598684
188,0.83105608,0.41589883,0.24867065,0.02116353,0.01276946,0.00949536,0.01197413,0.01334746,0.01338096,0.01520355
189,0.833703,0.41484919,0.24810068,0.02079804,0.0121867,0.00847302,0.01277385,0.01273093,0.01290177,0.01547281
190,0.82742527,0.41292616,0.24540546,0.02075735,0.0128815,0.00827491,0.012208,0.01197068,0.0123481,0.01546454
191,0.83231855,0.41057389,0.24349105,0.02081741,0.01135054,0.00939589,0.01284783,0.01219361,0.01320774,0.01542236
192,0.83284572,0.40900104,0.24653129,0.02105901,0.01153647,0.008637,0.0117389,0.01328496,0.01278215,0.01512157
193,0.83246477,0.41332219,0.24961495,0.02169266,0.01220511,0.0094745,0.01207351,0.01458016,0.01536847,0.01580452
194,0.8294099,0.41562125,0.24963439,0.02138635,0.01131027,0.00959988,0.01177946,0.01386507,0.01472294,0.01556997
195,0.83154681,0.4115299,0.24600895,0.02232309,0.01130039,0.00935177,0.01269013,0.01137928,0.01342774,0.01466357
196,0.82970877,0.41115233,0.24710051,0.02053086,0.01220184,0.00855383,0.01210888,0.01249421,0.01286729,0.01489289
197,0.83117597,0.41275197,0.24630516,0.0229632,0.01145584,0.00911168,0.01230725,0.01310678,0.01455005,0.01487436
198,0.82739825,0.41278804,0.24650026,0.02078519,0.01239106,0.009546,0.01197841,0.01264962,0.01307165,0.01442262
199,0.82931459,0.41150485,0.24509714,0.02061838,0.01187826,0.00859423,0.01177372,0.01277957,0.01316816,0.01663619
200,0.8284843,0.41222937,0.24172357,0.0202722,0.01259067,0.00879165,0.01036517,0.01258401,0.01349939,0.01532622
