epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
110,0.97011525,0.59380619,0.41964346,0.10826217,0.06388981,0.06576954,0.07662946,0.08092189,0.08533279,0.08390831
111,0.97057852,0.59288805,0.41950742,0.11218923,0.06389837,0.0633623,0.07603659,0.07907186,0.08316916,0.07755579
112,0.96999348,0.59317431,0.41555356,0.10419128,0.05983783,0.05906529,0.07057025,0.07438143,0.0819182,0.07788661
113,0.96574356,0.58169167,0.40955191,0.10309582,0.06180733,0.05857655,0.07054297,0.07744473,0.07845723,0.07705844
114,0.96062544,0.57686445,0.40404736,0.10212176,0.05631007,0.05793806,0.06830511,0.07418991,0.07731718,0.07321617
115,0.96166157,0.57875761,0.40346327,0.09837365,0.05780682,0.05635393,0.06780264,0.0727991,0.07728994,0.07589047
116,0.95996538,0.57645266,0.40587603,0.09650004,0.05900012,0.05457177,0.06276509,0.06971723,0.07498629,0.068072
117,0.95920767,0.57481888,0.402644,0.09465156,0.05514786,0.05806344,0.06715652,0.07333013,0.07134308,0.07243122
118,0.95555073,0.57048268,0.39858664,0.0976808,0.0545142,0.05269267,0.06434771,0.06861669,0.07215205,0.06686736
119,0.96479772,0.56964231,0.39966631,0.09042185,0.05134855,0.05072263,0.06065795,0.06778054,0.06939207,0.06669048
120,0.94894116,0.56926039,0.39259081,0.08986397,0.05357497,0.05373277,0.06379777,0.06504456,0.06756022,0.06427062
121,0.94779472,0.56614167,0.38938348,0.08792306,0.04964934,0.05026636,0.05723112,0.06344833,0.0674465,0.0621778
122,0.95400878,0.56389262,0.38981978,0.08732588,0.0479988,0.04694815,0.05856253,0.06353989,0.06439445,0.06488317
123,0.95048545,0.55699428,0.38343509,0.08629666,0.0454408,0.04694827,0.05422824,0.06073374,0.06490967,0.06031074
124,0.9503388,0.56216429,0.38902157,0.08558509,0.04843902,0.04342885,0.05471956,0.06099716,0.06138287,0.06158431
125,0.94857058,0.55312645,0.38319984,0.08167747,0.0428862,0.04370574,0.05199879,0.05930785,0.06161105,0.05851024
126,0.94332768,0.55071064,0.37627061,0.07757336,0.04552817,0.04291642,0.05314684,0.05744822,0.06003112,0.05693749
127,0.94536938,0.54729739,0.37631931,0.07693098,0.0417716,0.04092409,0.05211135,0.05350143,0.0568009,0.05603552
128,0.94150687,0.5489459,0.37523551,0.07728887,0.04160918,0.03971548,0.04716708,0.05416914,0.05581866,0.05688989
129,0.93815917,0.5442272,0.37238071,0.0759137,0.03981053,0.03760515,0.04809422,0.05379283,0.05590653,0.05251614
