epoch,zilu_approx_sigma0.01_train_loss,zilu_approx_sigma0.05_train_loss,zilu_approx_sigma0.1_train_loss,zilu_approx_sigma0.5_train_loss,zilu_approx_sigma1.0_train_loss,zilu_approx_sigma5.0_train_loss,zilu_approx_sigma10.0_train_loss,zilu_approx_sigma50.0_train_loss,zilu_approx_sigma100.0_train_loss,zilu_approx_sigma1000.0_train_loss
103,0.18136877,0.19103459,0.17874775,0.12914723,0.09465734,0.04720002,0.04902534,0.05283891,0.0549098,0.06226717
104,0.17913336,0.1905306,0.17352249,0.12550793,0.08990421,0.04590585,0.04853485,0.04908426,0.05757197,0.05718802
105,0.17740351,0.18441018,0.17152837,0.12355534,0.09010654,0.04636678,0.04674462,0.04973759,0.0536387,0.05604404
106,0.16642138,0.17877091,0.1688055,0.1177094,0.08335787,0.04318686,0.04443277,0.04752923,0.04827563,0.05507057
107,0.1687049,0.17724538,0.16050284,0.11680074,0.08402338,0.04239885,0.04341115,0.04595247,0.04929498,0.05441123
108,0.1600532,0.16808943,0.15747608,0.11256253,0.07862682,0.04114565,0.04403009,0.04397743,0.0477729,0.05306631
109,0.15750811,0.16575268,0.15406625,0.1099244,0.07809966,0.03740315,0.03983174,0.04437964,0.04794792,0.05010108
110,0.15102708,0.16119066,0.15017264,0.10541451,0.07683788,0.03694678,0.04213422,0.04506598,0.04376469,0.04811661
111,0.14938373,0.16048472,0.14753602,0.1026268,0.07304807,0.03552032,0.03356168,0.03926415,0.04510424,0.04920273
112,0.14387018,0.15281222,0.14268732,0.09879681,0.07087859,0.03473367,0.0391465,0.03859683,0.04369045,0.04766455
113,0.1448318,0.15333631,0.13708936,0.09887515,0.07038875,0.03259693,0.03680464,0.03878397,0.04076249,0.04605606
114,0.14439702,0.14814293,0.13848903,0.09623457,0.0674814,0.03454213,0.03509438,0.03614096,0.04203331,0.04129624
115,0.13662843,0.14109423,0.1333708,0.09177476,0.06401398,0.03055176,0.03327188,0.03715991,0.03700327,0.04008968
116,0.13085907,0.13892926,0.12943716,0.08610515,0.06448397,0.03234184,0.03229963,0.03337196,0.03749037,0.04164824
117,0.12920461,0.13654336,0.12728276,0.08756487,0.05926425,0.02991522,0.03269468,0.03581124,0.03775675,0.04090172
118,0.12585811,0.13377031,0.12430311,0.08549101,0.05784388,0.02801272,0.0319548,0.03192473,0.03468785,0.03637713
119,0.12365057,0.1303661,0.11998843,0.08134268,0.05751259,0.03049602,0.028863,0.0305006,0.03102372,0.03809061
120,0.12282596,0.12436804,0.12167246,0.08006668,0.0554811,0.0256399,0.02783629,0.02911653,0.03102222,0.03273558
121,0.11529562,0.11945191,0.11254213,0.07509996,0.05357745,0.02650258,0.02803371,0.03179823,0.03195968,0.0349947
122,0.11397191,0.11937776,0.11059048,0.07477721,0.05311797,0.02268941,0.02579587,0.02602667,0.02953343,0.03043678
123,0.11458789,0.11802056,0.10657218,0.07201325,0.05417453,0.02336428,0.0236832,0.02607172,0.02687004,0.02849269
124,0.10611441,0.10979681,0.10374292,0.06970773,0.04935712,0.02171697,0.02384985,0.0231363,0.02750279,0.02828621
125,0.10340675,0.10693477,0.10250577,0.06875005,0.04737963,0.02385588,0.02149049,0.0237021,0.02782183,0.02637439
126,0.10318849,0.10819631,0.09887779,0.06584356,0.05021631,0.02127751,0.02322659,0.02403692,0.02528764,0.02738595
127,0.10199823,0.10461678,0.10079588,0.06222254,0.045448,0.02153198,0.0232882,0.02100174,0.02578216,0.02955533
128,0.09524026,0.10272287,0.09381623,0.06251981,0.04219014,0.01867516,0.01939149,0.02269397,0.02343337,0.02537973
129,0.09450561,0.09768593,0.09276742,0.06312358,0.04215314,0.0160508,0.02094239,0.02208645,0.02359213,0.02445463
130,0.088967,0.09644884,0.08765308,0.0574319,0.03849502,0.01689073,0.01810466,0.02020137,0.02255112,0.02511163
131,0.08644589,0.09123842,0.08338442,0.0579617,0.03767041,0.0157208,0.01712369,0.02244051,0.02115857,0.02227256
132,0.08421864,0.09033415,0.08301033,0.05268879,0.03643251,0.01632132,0.01819083,0.01720771,0.01840721,0.02322113
133,0.08428003,0.08937986,0.08054102,0.05088241,0.0353526,0.01463326,0.01339548,0.01809633,0.0202632,0.02182777
134,0.0840931,0.08357386,0.07874874,0.05082231,0.03439409,0.01485252,0.01650794,0.01990611,0.01709501,0.01862243
135,0.07715696,0.08690001,0.07488241,0.05085652,0.03314398,0.01339985,0.01536168,0.01390108,0.01698519,0.01984637
136,0.07701925,0.08024398,0.07424845,0.05088494,0.03267045,0.01419109,0.01540477,0.01479183,0.0178101,0.01929759
137,0.07270248,0.07902733,0.07351406,0.04666686,0.02988403,0.01229329,0.01407203,0.01555309,0.01871846,0.0172612
138,0.06988322,0.0762923,0.07004892,0.04506005,0.02898718,0.011316,0.01264574,0.01416725,0.01722759,0.01635481
139,0.07098845,0.07606032,0.07212906,0.04162697,0.02779721,0.00974374,0.01158848,0.01318396,0.01501715,0.01439823
140,0.06525477,0.07189366,0.06499486,0.04046505,0.02884254,0.01187055,0.0113363,0.01263669,0.01397979,0.01671375
141,0.06744262,0.0695086,0.06342296,0.04099762,0.0271044,0.01271534,0.01199721,0.01262705,0.01315362,0.01498953
142,0.06328016,0.06980653,0.06224711,0.0375022,0.02505936,0.01014032,0.01081944,0.01242748,0.01251829,0.0154551
143,0.06099425,0.06747847,0.06104661,0.03645686,0.02567593,0.00820894,0.01089082,0.01184904,0.0120173,0.01423114
144,0.05904603,0.0657061,0.0565445,0.03687486,0.02373863,0.00912569,0.00921562,0.012083,0.01157594,0.01364949
145,0.05778727,0.05971311,0.05388519,0.03474447,0.02478077,0.00820999,0.00906325,0.01072535,0.01094521,0.01276092
146,0.05720264,0.05986024,0.05622928,0.03284896,0.02176739,0.00802392,0.00911223,0.00922345,0.01052384,0.01266484
147,0.0541563,0.05505362,0.05235788,0.03340933,0.0209025,0.00869502,0.00830785,0.0101414,0.00963312,0.01173902
148,0.05330556,0.05548811,0.05284685,0.0312382,0.02042207,0.0063808,0.00778085,0.01016801,0.00993683,0.01014553
149,0.04967768,0.05415238,0.0498719,0.02965361,0.01911532,0.00752474,0.00801018,0.00890666,0.00950917,0.01017895
150,0.04962107,0.05377693,0.04857312,0.02867869,0.01939201,0.00629017,0.00714641,0.00775641,0.00929793,0.00941806
151,0.04807604,0.05326414,0.04598918,0.0273755,0.01692081,0.00569416,0.00780537,0.00685577,0.00844792,0.01067378
152,0.04480813,0.04970416,0.04704791,0.02534481,0.01665612,0.00644366,0.00626044,0.00617,0.0076529,0.00890252
153,0.04342057,0.04857286,0.04301463,0.02607857,0.016474,0.0045558,0.00617117,0.00727151,0.0081571,0.0081801
154,0.04311493,0.045138,0.0439766,0.02724271,0.01580475,0.00607482,0.0053679,0.00659902,0.00763558,0.00917963
155,0.04293923,0.04718098,0.04146082,0.02397713,0.01352584,0.00499435,0.00460684,0.00587256,0.00721411,0.00813969
156,0.03899442,0.0433695,0.0382973,0.02094881,0.01344258,0.00440904,0.00482853,0.00743667,0.0064397,0.00589778
157,0.03919885,0.04034835,0.03905725,0.0211281,0.0123423,0.00458078,0.00513666,0.005322,0.00580191,0.00688608
158,0.03863095,0.04061762,0.03863457,0.022628,0.01408664,0.00411642,0.00586394,0.00425907,0.00600849,0.00596313
159,0.03681582,0.04090267,0.03637676,0.01942815,0.01187503,0.00407537,0.00449132,0.00509331,0.00576721,0.00566003
160,0.03718651,0.03778671,0.03453331,0.01785218,0.0124954,0.00434015,0.00385674,0.00555982,0.00439036,0.00594056
161,0.03327836,0.0365482,0.03392375,0.01941338,0.01225073,0.00334921,0.00373528,0.00464134,0.00564901,0.00554933
162,0.03508498,0.03630891,0.03429712,0.01637601,0.01190213,0.00310587,0.0033622,0.00461029,0.00546393,0.00451948
163,0.03428962,0.03620557,0.03147334,0.01718708,0.00951645,0.00324053,0.00449518,0.00363617,0.00432535,0.00583003
164,0.03355732,0.03423506,0.03127621,0.01653981,0.00933994,0.00326358,0.00284434,0.00415485,0.00438693,0.00482372
165,0.03071867,0.03179446,0.02817317,0.01696463,0.00931479,0.00260605,0.0024004,0.00370273,0.00369327,0.00475225
166,0.02939932,0.03277112,0.02709504,0.01456886,0.00979569,0.00261422,0.0027721,0.00310107,0.00414749,0.00381395
167,0.02681432,0.03066653,0.03019097,0.01349534,0.00954511,0.00211836,0.00295587,0.00309818,0.00334028,0.00439246
168,0.0265166,0.03084904,0.02487437,0.01392059,0.00856894,0.00224376,0.00285589,0.00320726,0.00398291,0.00363981
169,0.0289967,0.02959178,0.02749799,0.01449336,0.00837441,0.00175068,0.00270583,0.00306582,0.00322532,0.00355026
170,0.02543936,0.02595952,0.02636856,0.01476025,0.00799467,0.00158752,0.00266083,0.0030147,0.0029268,0.00400983
171,0.02752354,0.02809743,0.02498682,0.01229988,0.00753275,0.00165929,0.00248527,0.00239545,0.00320354,0.00366748
172,0.02346867,0.02544308,0.02510107,0.01187922,0.00595385,0.00185956,0.0020182,0.00221617,0.00258344,0.00362968
173,0.02466784,0.02508176,0.02270854,0.01107675,0.00750436,0.00149196,0.00184061,0.00251779,0.00213995,0.0030068
174,0.02230959,0.02331406,0.02226899,0.01130884,0.00717654,0.00153827,0.00148998,0.0021802,0.0034226,0.0030022
175,0.02249311,0.02577658,0.02296594,0.01111088,0.00614249,0.00166022,0.00207993,0.00151865,0.00288389,0.00294113
176,0.02294926,0.02351054,0.02168107,0.0113676,0.00615712,0.00136827,0.00191984,0.00239168,0.00223815,0.00224561
177,0.02182888,0.02500487,0.02072312,0.01032258,0.00520123,0.00215318,0.00141568,0.00188579,0.00250403,0.0026361
178,0.02013806,0.02068536,0.01884596,0.01023435,0.00519361,0.00095979,0.00151297,0.0019484,0.00189112,0.00246909
179,0.02075063,0.02361271,0.02076182,0.0097292,0.00545417,0.00081826,0.00128496,0.00216132,0.00221987,0.0020681
180,0.01839433,0.02125908,0.02080361,0.00926888,0.00547821,0.00092752,0.00135932,0.00158606,0.00166297,0.00240762
181,0.01947509,0.01985081,0.01924045,0.00849541,0.00547727,0.00140173,0.00153173,0.00161671,0.00150899,0.00239388
182,0.01951799,0.02132974,0.01870698,0.00873186,0.00555238,0.00104164,0.00117321,0.00154852,0.00207079,0.00207464
183,0.01781447,0.01974865,0.01818341,0.00865954,0.00488135,0.00116011,0.00145437,0.00154703,0.00173673,0.00211934
184,0.01828525,0.01950712,0.01838299,0.00875738,0.00490547,0.00106088,0.00086016,0.00156477,0.00250154,0.00183692
185,0.01948121,0.0198805,0.01922358,0.00856728,0.00446805,0.00101421,0.00098118,0.00134644,0.00174779,0.00166168
186,0.01794876,0.01899995,0.01680542,0.00803072,0.00438228,0.00081114,0.0010184,0.00103709,0.00193097,0.00178241
187,0.01660548,0.01824526,0.01706096,0.00794816,0.00349707,0.00085614,0.0012804,0.00131447,0.00190712,0.00139189
188,0.01666066,0.01954986,0.01711053,0.00801269,0.00393595,0.00045218,0.00076697,0.00156544,0.00199788,0.00178464
189,0.01817361,0.02020053,0.01747085,0.00792691,0.00374038,0.00052348,0.00114074,0.00127847,0.00144548,0.00144939
190,0.01747695,0.01850324,0.0174933,0.00869654,0.00468579,0.0010106,0.00089915,0.00158886,0.00178761,0.00175804
191,0.01703199,0.01788007,0.01661586,0.00727124,0.00374124,0.00062699,0.00091511,0.00129482,0.00106005,0.00165214
192,0.01650008,0.01816078,0.01629484,0.00694343,0.00337013,0.00071056,0.00085642,0.00108854,0.0013871,0.00152604
193,0.01674999,0.01734232,0.01565004,0.0068402,0.00395888,0.00066987,0.00085222,0.00129367,0.0015084,0.00126192
194,0.01608781,0.01797174,0.01682167,0.00734149,0.00313401,0.00074,0.00084659,0.00096998,0.00135324,0.00217309
195,0.01549655,0.01820063,0.01671483,0.00817144,0.00345078,0.00073684,0.00050491,0.00108628,0.00174114,0.00139424
196,0.0157762,0.01893116,0.01548139,0.00805689,0.00384743,0.00059474,0.00073101,0.00102038,0.00123759,0.00164675
197,0.01706774,0.01686474,0.0164025,0.00596879,0.00398292,0.00095787,0.00091323,0.00111009,0.00139575,0.00165223
198,0.01644186,0.01806419,0.01506655,0.00698715,0.00299516,0.00068785,0.00096897,0.00120119,0.00111209,0.00117893
199,0.01700479,0.01594267,0.01753517,0.00652447,0.00292174,0.0007039,0.00058687,0.00110747,0.0014148,0.00151673
200,0.01475685,0.01680942,0.01654185,0.00680118,0.0042436,0.00065461,0.00077338,0.00106064,0.00130671,0.00125369
