epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
124,0.12120226,0.11943828,0.11975631,0.04474066,0.0159389,0.02844343,0.0302379,0.03085603,0.03114623,0.0285675
125,0.11823075,0.11720714,0.11742717,0.03943913,0.01822446,0.02769061,0.03218312,0.02937798,0.02948885,0.02974055
126,0.11226525,0.1138156,0.10808772,0.03819194,0.01520612,0.02371219,0.02660518,0.02684341,0.02963834,0.02517476
127,0.11394252,0.1095163,0.10749245,0.03947748,0.01703984,0.02474402,0.02787453,0.02767448,0.02893396,0.02749439
128,0.1066606,0.11022303,0.10414944,0.03770395,0.01495748,0.02374795,0.02657974,0.02989069,0.02649315,0.02582699
129,0.10518203,0.10724713,0.1023226,0.03424647,0.01550194,0.0226545,0.02635743,0.02605995,0.02608613,0.02332217
130,0.10449132,0.10019112,0.10216243,0.03354665,0.01325384,0.02089754,0.02230855,0.02431351,0.02545,0.02248909
131,0.0988051,0.09978879,0.10005799,0.03071437,0.01433848,0.01918038,0.0242772,0.02397711,0.02363972,0.02067832
132,0.09573886,0.09706517,0.09392385,0.03255844,0.01366448,0.02090514,0.02166936,0.02226907,0.02255779,0.02295766
133,0.09540413,0.09543369,0.08991772,0.0304464,0.01056144,0.02031265,0.02394511,0.02160164,0.02220787,0.01870535
134,0.09120137,0.09367567,0.09049538,0.0300135,0.01100585,0.01806002,0.02217443,0.01820065,0.02075777,0.01958422
135,0.09487563,0.08765997,0.08917544,0.02737314,0.01003193,0.01819636,0.02146318,0.02017597,0.02179957,0.01859118
136,0.0848235,0.0888909,0.08501401,0.02785598,0.01048877,0.01693961,0.0198403,0.0203038,0.0178231,0.01723143
137,0.08706782,0.08478842,0.08154844,0.02587226,0.00978582,0.01656535,0.01904675,0.01670331,0.01778194,0.0181309
138,0.08064822,0.08004642,0.0818268,0.02629398,0.00898758,0.01589728,0.02001525,0.02248363,0.01901221,0.01619838
139,0.07941429,0.08034423,0.0764609,0.02465797,0.00897468,0.01598196,0.01762361,0.01733774,0.01752113,0.01629775
140,0.07621085,0.07640044,0.07742375,0.0245096,0.00747602,0.0155455,0.01697227,0.01583603,0.0158436,0.01455367
141,0.07411739,0.07667437,0.07451259,0.02213977,0.00897578,0.01330532,0.01567721,0.01437568,0.0137732,0.01479307
142,0.07387904,0.07144187,0.07037625,0.02040259,0.00782794,0.01268378,0.01389458,0.01367029,0.01539329,0.01365387
143,0.07284617,0.06968891,0.07082888,0.02397422,0.0088313,0.0119227,0.01446956,0.01405022,0.01430989,0.01199082
144,0.06925381,0.06988622,0.06842324,0.01864035,0.00684165,0.01062913,0.01260062,0.01265853,0.01339141,0.01181595
145,0.06872769,0.06625978,0.06478861,0.02072708,0.00626437,0.01149964,0.01296965,0.01269002,0.01177812,0.01148329
146,0.06255396,0.0633063,0.06065534,0.01742463,0.00513535,0.00964107,0.01229481,0.01206018,0.01090022,0.01198639
147,0.06074375,0.06315694,0.0632938,0.01900212,0.00612579,0.00927295,0.01083158,0.0118273,0.01207122,0.0101796
148,0.0574142,0.05759353,0.05947477,0.01462965,0.0051718,0.01035625,0.01225786,0.01134115,0.01108817,0.00969882
149,0.05951829,0.05815436,0.05879608,0.01633643,0.00435117,0.00909517,0.008971,0.01051136,0.01138118,0.00979179
150,0.06028857,0.0617204,0.05484764,0.01652502,0.00458462,0.00870642,0.01133858,0.01132765,0.00985004,0.00975316
151,0.05410158,0.05607115,0.0547208,0.01496104,0.01952521,0.0084754,0.00978352,0.00988958,0.01186634,0.00994842
152,0.05299011,0.05196809,0.05211059,0.01630908,0.00417847,0.0077429,0.00909537,0.00849985,0.00895575,0.0083127
153,0.05368806,0.05142266,0.05092866,0.01361341,0.0039912,0.00771784,0.0083932,0.00878712,0.00934149,0.00846736
154,0.05318608,0.04987211,0.05092044,0.01203155,0.00460523,0.00721533,0.00875907,0.00865686,0.00923534,0.00843506
