epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
90,2.59471273,1.78114583,1.43386217,0.2376893,0.1662397,0.09444686,0.10437019,0.11260032,0.11875381,0.12055717
91,2.59440087,1.77016925,1.41453135,0.23275891,0.1629794,0.09396818,0.09948151,0.1091589,0.1140987,0.11881214
92,2.57896376,1.76039361,1.40310212,0.22612438,0.16157263,0.0928325,0.09512268,0.10377717,0.11224473,0.11576472
93,2.58638066,1.75454768,1.39722168,0.22389618,0.15440539,0.09328623,0.09370341,0.10299644,0.10821111,0.10774459
94,2.58100566,1.75203501,1.38957017,0.21449373,0.14864085,0.08693964,0.09594076,0.10090091,0.10842509,0.10835328
95,2.56842142,1.73682532,1.37098118,0.20610321,0.13898724,0.0805956,0.08700476,0.09617558,0.09839212,0.1048618
96,2.56605645,1.7321649,1.36104952,0.19950228,0.140025,0.08455453,0.0865807,0.09478166,0.10046345,0.10215808
97,2.5648143,1.72525752,1.35235937,0.19912319,0.13293208,0.07979974,0.08320603,0.09172236,0.10203283,0.09635617
98,2.56202747,1.70920428,1.33994361,0.18865834,0.12924096,0.0751053,0.08019492,0.08483748,0.09621718,0.10010802
99,2.54037261,1.69099143,1.32097948,0.18083661,0.13656412,0.07716063,0.07884505,0.08744698,0.09467279,0.09250541
100,2.55140052,1.69147117,1.31765689,0.17983825,0.13691664,0.07457916,0.07398583,0.08907166,0.09310933,0.09506746
101,2.54079892,1.68249543,1.30030665,0.17255939,0.1195638,0.07067379,0.07467906,0.08057215,0.08933458,0.08788778
102,2.53608085,1.67219795,1.29700085,0.16672956,0.11851077,0.06814151,0.06990868,0.08033891,0.08195706,0.08604393
103,2.53064291,1.66239736,1.27936572,0.16262826,0.11868014,0.0653647,0.0686462,0.07712133,0.0834338,0.08596948
104,2.5143194,1.65534549,1.2685806,0.15640011,0.11492513,0.06237179,0.07061754,0.0731414,0.07539393,0.07875021
105,2.52002413,1.64745401,1.253271,0.15324553,0.10952601,0.06247757,0.06484524,0.0697583,0.07335052,0.07654642
106,2.52056136,1.64961795,1.25115781,0.15028591,0.11049618,0.06006398,0.06473372,0.07117463,0.07481253,0.07819602
107,2.51166064,1.62501001,1.2332584,0.14493737,0.1057152,0.05812587,0.06190422,0.06828931,0.07107274,0.07426725
108,2.5097314,1.6182359,1.2177513,0.14001295,0.1019788,0.05539336,0.06045256,0.06608271,0.06910434,0.07061984
109,2.49885741,1.61707887,1.21526034,0.13570496,0.10267365,0.05505815,0.05774772,0.06415171,0.06743552,0.06810261
110,2.49772773,1.60566044,1.20522686,0.12769559,0.10016376,0.05031915,0.05681288,0.06262223,0.06502413,0.06616752
111,2.50375795,1.59862651,1.20203719,0.13052873,0.09783017,0.0523926,0.05394482,0.06006723,0.06541535,0.06735471
112,2.49460352,1.59161127,1.18519423,0.12625728,0.09372623,0.04811649,0.05168296,0.06052877,0.05995824,0.06514569
113,2.48930192,1.58570306,1.1787524,0.12014564,0.0897835,0.0488834,0.04982039,0.0599682,0.05945097,0.06088358
114,2.48298448,1.57518552,1.16393111,0.11390704,0.08615666,0.04644979,0.04806178,0.05649578,0.05933561,0.05578429
115,2.48126841,1.56839035,1.15239558,0.11057909,0.08194436,0.0440865,0.04829798,0.04982562,0.05370305,0.05647135
116,2.47209091,1.55413565,1.13566897,0.10934585,0.07927463,0.04360017,0.04533591,0.05125289,0.05209275,0.05343177
117,2.46510996,1.54893274,1.12782087,0.10286137,0.077573,0.0407197,0.04411686,0.05070734,0.05340041,0.05343552
118,2.46858721,1.54634459,1.12543584,0.1033679,0.08135358,0.04108861,0.04354196,0.05010028,0.0513211,0.05222945
119,2.46713232,1.5401035,1.11102484,0.0978939,0.07225101,0.03813438,0.04192501,0.04704158,0.0471124,0.04979836
120,2.45320806,1.52512048,1.09891888,0.09655193,0.07191675,0.03774909,0.03999906,0.04683488,0.05129075,0.0486904
121,2.45201973,1.51638569,1.08943237,0.08895548,0.06743938,0.03383217,0.03756083,0.04210911,0.04779324,0.04703638
122,2.45110224,1.52155077,1.08964889,0.08880994,0.06598832,0.03493696,0.03614214,0.04148215,0.04572368,0.04608335
123,2.44546129,1.5062397,1.06775088,0.08386017,0.06164752,0.03305886,0.03588559,0.03614343,0.04099196,0.04369576
124,2.44758369,1.50684,1.06989291,0.08527377,0.06260785,0.03419205,0.03510747,0.03857004,0.0410722,0.04555986
125,2.43901917,1.49526615,1.05668126,0.07919974,0.05667388,0.02948286,0.03262196,0.03789817,0.04048778,0.03878491
126,2.43597866,1.49064952,1.04951285,0.07855275,0.05786367,0.0303236,0.03099397,0.03699867,0.03528418,0.03789766
127,2.43514068,1.48255529,1.03886903,0.07457696,0.05591291,0.02809384,0.03040378,0.03334466,0.03629846,0.03599474
128,2.43657108,1.4737693,1.0241402,0.07332488,0.05482818,0.02739745,0.02691418,0.03385585,0.03623486,0.0356536
129,2.42823471,1.46919085,1.02407282,0.07239855,0.05309803,0.02933918,0.02687276,0.03370433,0.03570254,0.03393446
130,2.42483897,1.46484575,1.00912836,0.06961456,0.05138149,0.02650769,0.02806313,0.03173931,0.03403627,0.03422242
131,2.42109418,1.45285254,1.0030454,0.06582454,0.04889685,0.02622873,0.02700401,0.03037204,0.03304481,0.03179774
132,2.41661773,1.44886932,0.9949743,0.06737389,0.04918485,0.0260667,0.02805513,0.02932294,0.03072617,0.03138888
133,2.41703697,1.44893489,0.9949652,0.06209352,0.04876761,0.02466306,0.02502957,0.02498379,0.02875759,0.03280628
134,2.41694377,1.4416388,0.98324394,0.05956082,0.04623691,0.02291511,0.02187663,0.02600976,0.03049898,0.02905369
135,2.40970473,1.42583855,0.97182183,0.05656294,0.04364808,0.0206027,0.02188799,0.02621863,0.02639999,0.02855155
136,2.40806372,1.42703053,0.96235312,0.05637341,0.04226496,0.02096676,0.02177744,0.02587609,0.02714439,0.02810456
137,2.40596362,1.4172658,0.95735644,0.05369956,0.04090531,0.02098938,0.02288118,0.02419584,0.02566326,0.02641673
138,2.39600446,1.41443822,0.95035651,0.05100147,0.04058507,0.01776251,0.01991457,0.02551213,0.02300967,0.02521625
139,2.38685337,1.40546641,0.94361437,0.04819706,0.04174034,0.01921467,0.02196437,0.02133915,0.02285808,0.02527353
140,2.39103476,1.39977631,0.9342425,0.04619386,0.036265,0.01669359,0.01934376,0.02056578,0.02217954,0.02325711
141,2.39105543,1.3919424,0.92841527,0.04757085,0.03762177,0.01719242,0.01793157,0.01963849,0.01969538,0.01940613
142,2.38626353,1.38623828,0.91811283,0.0440295,0.03393733,0.01587885,0.01726406,0.01932171,0.02197677,0.02254498
143,2.38372416,1.3846583,0.9065872,0.04293392,0.03135159,0.01428953,0.01675963,0.01928411,0.01967448,0.0188245
144,2.37876173,1.38128637,0.90310374,0.04131698,0.03207784,0.01471377,0.01875691,0.01840419,0.02032123,0.01944614
145,2.38010129,1.3713438,0.89561538,0.04149677,0.03168565,0.01479787,0.01479844,0.01919517,0.01832184,0.01816801
146,2.36931003,1.36459049,0.8871081,0.0403309,0.03012489,0.01467378,0.01619914,0.01729968,0.01873891,0.01977783
147,2.37016746,1.3633604,0.88608466,0.03699951,0.02946812,0.01459688,0.01399234,0.01772569,0.01736775,0.01773172
148,2.36656329,1.35847727,0.88337329,0.03621055,0.02656318,0.01199917,0.01391693,0.01622775,0.01674495,0.01704875
149,2.36286642,1.35369037,0.87536805,0.03640538,0.0289757,0.0127858,0.01407764,0.01562624,0.01674927,0.01624919
150,2.36135179,1.34775988,0.86823204,0.03288696,0.02777139,0.01233451,0.01425281,0.0144007,0.01506332,0.01544572
151,2.35419972,1.34167955,0.8576969,0.03180158,0.02454029,0.01158152,0.01068372,0.01352681,0.0140168,0.01408028
152,2.36072238,1.33935232,0.85627041,0.02988634,0.02344624,0.01085974,0.01103557,0.0138,0.01363241,0.01379812
153,2.35659778,1.33143189,0.85223666,0.03063344,0.02252744,0.00993691,0.0119379,0.01323452,0.01231479,0.01407207
154,2.355646,1.32662977,0.84521617,0.02930512,0.02287333,0.00909636,0.01109063,0.01389213,0.01257109,0.0134832
155,2.35120604,1.32702301,0.8358331,0.02771566,0.02385273,0.00993517,0.01145821,0.01195581,0.01309575,0.01318557
156,2.34563477,1.32666445,0.83536996,0.02777745,0.02250499,0.00919503,0.0100824,0.01172889,0.01187254,0.0137096
157,2.3415609,1.30941125,0.82323521,0.02734819,0.0197315,0.00872394,0.0093342,0.01138079,0.01144528,0.01242527
158,2.3497484,1.3114915,0.82125924,0.02704373,0.02175473,0.00800484,0.00922461,0.01129423,0.01110367,0.0126539
159,2.34374468,1.30420614,0.81701621,0.02631292,0.02025568,0.00778594,0.00871911,0.01133735,0.0110651,0.01204532
160,2.33846245,1.30531103,0.81516469,0.0233254,0.01872842,0.00763927,0.00911986,0.00966556,0.01005577,0.01084862
161,2.33969583,1.30448682,0.80934998,0.02181724,0.01856103,0.00862928,0.00836293,0.0096358,0.009809,0.00984202
162,2.34116395,1.30040372,0.80563543,0.02293774,0.01742585,0.00751424,0.00984654,0.00958443,0.0097357,0.01018263
163,2.3339696,1.29547749,0.80083862,0.02040141,0.01848598,0.00782664,0.00810721,0.0088998,0.00995045,0.00943242
164,2.33470874,1.284992,0.79636776,0.01995783,0.0160682,0.00675232,0.00718332,0.00843288,0.00865493,0.00900822
165,2.33162925,1.2882133,0.78831342,0.02076008,0.01654295,0.00671851,0.00714875,0.00806776,0.00798231,0.00846337
166,2.32719216,1.27805287,0.78472955,0.01876771,0.01669202,0.00626416,0.00665295,0.00779769,0.00780716,0.00847948
167,2.33262041,1.27385823,0.77932111,0.02049814,0.01547495,0.00628664,0.00609694,0.00777775,0.00702718,0.00843656
168,2.32607135,1.27712746,0.77706567,0.01756855,0.01457863,0.00539578,0.00533004,0.00624569,0.00680068,0.00764317
169,2.32757671,1.27046852,0.77744847,0.01875538,0.01564388,0.00588571,0.006653,0.00856273,0.00829533,0.00812755
170,2.32591572,1.26723457,0.7721209,0.01720918,0.01385523,0.00550208,0.00552813,0.00675523,0.00805097,0.0077618
171,2.32065599,1.26803776,0.76931478,0.01601114,0.01226324,0.00452425,0.0055266,0.0064046,0.00666398,0.00735381
172,2.31478732,1.25902631,0.7615475,0.01624391,0.01323901,0.00576124,0.00621925,0.00635985,0.00694147,0.00810701
173,2.31545412,1.25988298,0.75865643,0.01583885,0.01507666,0.00488568,0.00576521,0.00628039,0.00689973,0.00638874
174,2.31860487,1.25502093,0.75403369,0.01539306,0.01284435,0.00453291,0.00464961,0.00654966,0.00652157,0.00734196
175,2.32044066,1.25894281,0.75980946,0.0154541,0.01332594,0.00441523,0.0051926,0.00595488,0.00691878,0.00672278
176,2.31672932,1.24693036,0.75241485,0.01430925,0.01163435,0.00424397,0.0041352,0.00566728,0.00613437,0.00624264
