epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
122,0.11151662,0.13263809,0.12330982,0.07652611,0.02861313,0.02626409,0.03275153,0.03600356,0.03495709,0.0311901
123,0.11215526,0.12908452,0.12128008,0.07403244,0.03060978,0.02485024,0.03080024,0.03113431,0.03378813,0.03128699
124,0.10658721,0.12577021,0.12158021,0.0726659,0.03116725,0.02198272,0.03113964,0.03238713,0.0285481,0.03151654
125,0.10262912,0.11939845,0.11713647,0.06967585,0.02850568,0.02454799,0.02756767,0.03019801,0.02878809,0.02924858
126,0.09816761,0.1159716,0.11474765,0.06520334,0.02574592,0.02240402,0.02843006,0.02959722,0.0289277,0.02869653
127,0.1023292,0.11709633,0.11280832,0.06935076,0.02620613,0.02067161,0.02714119,0.03081206,0.02708335,0.02700883
128,0.0931579,0.11768021,0.10876673,0.06362488,0.02611135,0.01784207,0.02626331,0.0263333,0.02547164,0.02548224
129,0.0933528,0.11210362,0.10418097,0.06272312,0.02424481,0.02156378,0.0241701,0.02849751,0.02521395,0.02346582
130,0.08855676,0.11012331,0.10120362,0.06249722,0.02489079,0.01633354,0.02312207,0.02515777,0.02535365,0.02460477
131,0.08850022,0.1023175,0.09807259,0.05754892,0.02190806,0.01787717,0.02426497,0.02368561,0.0243638,0.02377037
132,0.08501138,0.10304892,0.0974815,0.05357623,0.01976195,0.01801094,0.02320675,0.02364918,0.02473008,0.02160656
133,0.08179734,0.09601487,0.09355992,0.05461293,0.02088663,0.01652264,0.02079188,0.02291009,0.02161437,0.02090914
134,0.07939165,0.09885101,0.09252394,0.05143002,0.01995986,0.01572382,0.02042478,0.02083869,0.02264509,0.01947767
135,0.07782423,0.09349852,0.08802918,0.04829877,0.019668,0.01617831,0.0204612,0.02035331,0.02027414,0.01920995
136,0.07584061,0.0932893,0.08425216,0.05076992,0.01866769,0.01498262,0.01982231,0.02135471,0.01855666,0.01949982
137,0.07373867,0.09207803,0.08207657,0.04683053,0.01682248,0.01384006,0.01822772,0.02077484,0.01826684,0.01880746
138,0.07182439,0.08473692,0.07924568,0.04513743,0.01581603,0.0116225,0.01789833,0.01912934,0.01791768,0.01840645
139,0.07047515,0.08349986,0.07967818,0.04320198,0.01696226,0.0138163,0.01454223,0.01921047,0.01730353,0.01624159
140,0.0686098,0.08148305,0.07383837,0.04337828,0.01276052,0.01228101,0.01691839,0.0160409,0.01819089,0.01510347
141,0.06709469,0.07606024,0.07479923,0.04138032,0.01187025,0.01067939,0.01431535,0.01678759,0.01586415,0.01495045
142,0.06270822,0.08112554,0.07491009,0.03972016,0.0144026,0.01226849,0.01485622,0.01403728,0.01413012,0.0150915
143,0.06128117,0.07748812,0.06899482,0.03635613,0.0142855,0.01026588,0.01555879,0.01644204,0.01559525,0.0134672
144,0.05731362,0.07445119,0.06953648,0.03542085,0.01295179,0.01003438,0.01338174,0.01460573,0.01336637,0.01411621
145,0.05725405,0.06971669,0.06439157,0.03707984,0.01212819,0.00974514,0.01275367,0.01286668,0.01181245,0.0135886
146,0.05581343,0.06823904,0.06356794,0.03363706,0.01012066,0.00874117,0.01136933,0.01424788,0.01125347,0.01128873
147,0.05513325,0.06720472,0.06230124,0.03297303,0.01103657,0.00825664,0.01234439,0.01246451,0.01144343,0.01160906
148,0.05200275,0.0640956,0.05788618,0.03259716,0.00946309,0.00798757,0.01149445,0.0115545,0.01160509,0.01168767
149,0.05092381,0.06253734,0.05738569,0.03045194,0.00964166,0.00813373,0.009562,0.00981161,0.01199977,0.01086185
150,0.05224019,0.05998564,0.05608504,0.02950048,0.00989646,0.00711807,0.0100534,0.01188676,0.01213592,0.01029806
151,0.04598389,0.05908924,0.0563267,0.02883738,0.0083233,0.00583408,0.009456,0.00979976,0.01047836,0.01015964
152,0.04665991,0.05434415,0.05169081,0.02838502,0.00889535,0.00747698,0.00992426,0.00936925,0.00930581,0.00942114
153,0.04492641,0.05373155,0.05085815,0.02714232,0.00716731,0.00554496,0.00856214,0.00919017,0.00842986,0.00919135
154,0.04597627,0.05311608,0.04804088,0.02658558,0.0064433,0.00634339,0.00864621,0.00935503,0.00839008,0.00858208
155,0.0420017,0.05052766,0.04892206,0.02384775,0.00695718,0.00582484,0.00831157,0.00895019,0.00833147,0.00758039
156,0.03914808,0.05009197,0.04817367,0.02317504,0.0058955,0.00598855,0.00695574,0.00895112,0.00855506,0.0073811
157,0.0385979,0.04894209,0.04362845,0.02292731,0.00583597,0.00486147,0.00702361,0.00668501,0.00828303,0.00656383
158,0.03833729,0.04723438,0.0465526,0.02353308,0.00548662,0.00461547,0.00797001,0.006754,0.00755284,0.00817955
159,0.03659102,0.04792127,0.04301609,0.02078148,0.00590416,0.00422028,0.00672669,0.00755025,0.00595017,0.00817605
160,0.03555738,0.04853216,0.04080021,0.0204767,0.00545463,0.00317922,0.00610164,0.00759714,0.00737026,0.00624699
161,0.03398318,0.04271624,0.04056559,0.02038103,0.00509537,0.0038542,0.00531717,0.00692886,0.00627242,0.00711633
162,0.03389897,0.04055302,0.03959291,0.02090315,0.00462202,0.00433541,0.00494995,0.00603325,0.00536131,0.00589064
163,0.03154104,0.04038361,0.03603273,0.01785414,0.00470373,0.00371537,0.00627455,0.00604338,0.00620166,0.00523466
164,0.03196571,0.04149415,0.03565122,0.01659942,0.00434745,0.00368484,0.00562297,0.00490095,0.00591573,0.0057609
165,0.03171143,0.03739171,0.0339166,0.01729996,0.00337949,0.00359805,0.00421347,0.00509102,0.00454999,0.00495379
166,0.03139107,0.03912961,0.03515897,0.01766025,0.00400238,0.00408095,0.00403843,0.00578023,0.00466824,0.0047654
167,0.02825901,0.03689211,0.03233069,0.01578665,0.0034686,0.00366039,0.00388409,0.00435278,0.00356096,0.00336086
168,0.02789339,0.03590342,0.03298848,0.01439057,0.00349135,0.00304783,0.00421627,0.00492472,0.00428656,0.00409947
169,0.02641687,0.03687462,0.03366006,0.01411547,0.00320611,0.00243579,0.00442134,0.0047408,0.00439467,0.00332306
170,0.02615771,0.03062861,0.03124331,0.01405747,0.00339172,0.00241263,0.00420319,0.00402721,0.00453938,0.00334493
171,0.02602171,0.03220308,0.02895183,0.01271567,0.00323644,0.00298883,0.00296713,0.00411168,0.00474117,0.00310171
172,0.0250629,0.03323001,0.02973071,0.01449851,0.00260061,0.0021023,0.0032467,0.00376445,0.0033344,0.00359149
173,0.02406307,0.03253881,0.02844551,0.01229484,0.0025792,0.00207527,0.00330425,0.00318711,0.00306076,0.00366929
174,0.02325038,0.03131064,0.02877892,0.01205751,0.00243237,0.00184294,0.00350967,0.00305218,0.0036789,0.00316867
175,0.02331411,0.02982225,0.02568208,0.01220533,0.00229392,0.00186381,0.00316393,0.00367072,0.00310322,0.0031482
176,0.02326334,0.03158214,0.02744137,0.01158312,0.00203484,0.00220983,0.00244389,0.00368527,0.00306987,0.00254647
177,0.02111009,0.02888122,0.02515471,0.01230202,0.00238638,0.00154056,0.0033265,0.00271081,0.00297933,0.00235346
178,0.02081482,0.03019361,0.02386113,0.00952631,0.00195687,0.00183395,0.00247886,0.00222751,0.00261707,0.00279259
179,0.02059915,0.02783822,0.02388501,0.01028898,0.00201012,0.00169232,0.00255759,0.00248891,0.00242286,0.00246836
180,0.02148234,0.02870897,0.02386895,0.00947908,0.00120562,0.00146459,0.00256074,0.00319908,0.00255607,0.00275584
181,0.01993366,0.0271977,0.02316933,0.00991961,0.00202166,0.00173959,0.00219463,0.00252179,0.00253805,0.00239216
182,0.02040625,0.02645968,0.02414275,0.01038952,0.00209846,0.00117776,0.00231297,0.00272537,0.00225262,0.00212577
183,0.02041339,0.02571569,0.0216362,0.00939359,0.0017265,0.00129529,0.00199702,0.00262221,0.00285416,0.0018284
184,0.01957977,0.02695601,0.0214486,0.01065843,0.00147255,0.00130489,0.00202436,0.00276658,0.00212982,0.00236777
185,0.018356,0.02463683,0.02136194,0.00894259,0.00144061,0.00102857,0.00191327,0.00256828,0.00222678,0.00226202
186,0.01827848,0.02519314,0.02268063,0.00957116,0.00145127,0.00149364,0.00171534,0.00286246,0.00198994,0.00197003
187,0.01795335,0.02428461,0.02092657,0.00771451,0.00181496,0.00131254,0.00208693,0.00239062,0.00196698,0.00165544
188,0.01873538,0.0242414,0.02062576,0.00942235,0.0012497,0.00114082,0.002307,0.0019592,0.00261537,0.00219822
189,0.01825764,0.02405109,0.02099741,0.00790147,0.00136942,0.00103068,0.00150951,0.00219201,0.00154133,0.00163194
190,0.01869144,0.02374099,0.01916516,0.00838802,0.00143357,0.00123243,0.00180081,0.00221503,0.00209636,0.00163567
191,0.01775123,0.02220162,0.02190234,0.0084787,0.00143052,0.00118574,0.00178711,0.00213758,0.00172429,0.00170482
192,0.01690039,0.02407212,0.02040956,0.00903711,0.00107432,0.00099123,0.00170308,0.00230016,0.0015929,0.00157898
193,0.01489511,0.02230338,0.01919051,0.00850633,0.00092689,0.00083923,0.00175019,0.00206811,0.00210122,0.00159782
194,0.01669569,0.02377348,0.02000117,0.00736041,0.00134922,0.00120632,0.00195038,0.00228048,0.00182515,0.00145854
195,0.01533301,0.02227927,0.0185936,0.00807346,0.00094759,0.00081036,0.00173178,0.00160318,0.00171869,0.00150329
196,0.01613294,0.02382081,0.02019484,0.00907749,0.00123827,0.00086458,0.0014756,0.00241842,0.0019847,0.00144454
197,0.01669468,0.02104842,0.0184055,0.00865665,0.00110786,0.00105967,0.0016404,0.00192094,0.00153815,0.00155405
198,0.01634137,0.02257162,0.01870563,0.00893828,0.00104149,0.00053437,0.00239132,0.00176239,0.00198385,0.00148989
199,0.01617947,0.02358662,0.01913553,0.00824374,0.00126016,0.00131445,0.00136133,0.00175063,0.00165369,0.00177615
200,0.01647527,0.02369174,0.01835358,0.00754794,0.00077672,0.00117271,0.0017322,0.00142709,0.00175601,0.00161235
