epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
109,0.25981067,0.24786183,0.27656116,0.11147896,0.04545299,0.07264148,0.0779273,0.0752466,0.07511841,0.07629951
110,0.2536444,0.24461554,0.2652972,0.11313648,0.04652028,0.07241622,0.07340634,0.07355915,0.07163239,0.07374006
111,0.24961241,0.23522475,0.2607265,0.10914326,0.04405919,0.06878958,0.0711761,0.07221173,0.07015471,0.07173446
112,0.23644842,0.23330164,0.24938291,0.10348679,0.04349064,0.06443397,0.07298624,0.07036513,0.0709489,0.06781374
113,0.23371491,0.22691893,0.245115,0.1017747,0.04314811,0.06187101,0.06814395,0.06770107,0.06744794,0.06502231
114,0.22633064,0.22432534,0.23711751,0.09952369,0.04247948,0.05855937,0.06768381,0.06493049,0.06403794,0.06175896
115,0.22423953,0.21358774,0.22982695,0.09325469,0.03718334,0.05638788,0.06478696,0.06555997,0.06143443,0.06414121
116,0.21647399,0.20793507,0.22466742,0.0944932,0.03431198,0.05894271,0.06134988,0.05817598,0.06328685,0.05977256
117,0.21300422,0.20702962,0.22268902,0.08902307,0.03719229,0.05782478,0.05729049,0.0578331,0.06196476,0.05894942
118,0.20670094,0.19348131,0.21239361,0.08862796,0.03296235,0.05601322,0.05729738,0.05715086,0.05648694,0.05229801
119,0.20227341,0.18906961,0.20823287,0.08415113,0.02893587,0.05211133,0.05767515,0.05337547,0.05243224,0.05362926
120,0.19459962,0.18775281,0.2028401,0.08289648,0.03289798,0.05040066,0.05347286,0.05436911,0.05383529,0.05195468
121,0.18656596,0.18175282,0.20196864,0.07779038,0.03174482,0.04692508,0.05116071,0.05192737,0.05249776,0.05290936
122,0.17786202,0.17462152,0.18927403,0.07410221,0.02887592,0.04453495,0.05207252,0.05136601,0.04951455,0.05078443
123,0.17102106,0.16952055,0.18477122,0.07217116,0.02920781,0.04102933,0.04727656,0.05094577,0.04454838,0.0459001
124,0.17355866,0.16474149,0.1870333,0.0703215,0.02874452,0.0429822,0.04759929,0.04693326,0.04490529,0.04422681
125,0.16639368,0.16009319,0.17487199,0.07054462,0.02629873,0.04116109,0.04562921,0.04403086,0.04498573,0.04527679
126,0.16555379,0.14937827,0.16965146,0.0676883,0.02549684,0.03903183,0.04164024,0.04083401,0.04139483,0.04187996
127,0.15781092,0.15657339,0.16785746,0.0654401,0.02361243,0.03850957,0.04139577,0.0395801,0.0393931,0.03986867
128,0.15691521,0.14692722,0.16262208,0.06027698,0.02327361,0.03906526,0.04270391,0.03927368,0.04089093,0.04042635
129,0.14952755,0.14443652,0.15921201,0.05806543,0.02168594,0.03529021,0.03698269,0.04019673,0.03532478,0.03725828
130,0.14103051,0.13490522,0.15321739,0.05845282,0.01860924,0.03096033,0.03752826,0.03951994,0.03783156,0.03376351
131,0.13891923,0.13434746,0.14601971,0.05206606,0.01937862,0.0322315,0.03696071,0.0373614,0.03460855,0.03372417
132,0.13838217,0.12793243,0.14461626,0.05405942,0.02233374,0.02957904,0.0362134,0.03380139,0.03471589,0.03275073
133,0.13141309,0.12283426,0.13648923,0.05048287,0.01760096,0.0280631,0.03357416,0.0316798,0.03046806,0.0315688
134,0.12453429,0.12250365,0.14097647,0.04913866,0.01768612,0.027885,0.03264493,0.03037882,0.03341877,0.030081
135,0.12231918,0.11982378,0.13210867,0.04611412,0.01648562,0.02757713,0.03087415,0.03134744,0.0294119,0.02869644
136,0.11943853,0.11253375,0.12774541,0.04546732,0.01659349,0.02661769,0.02987372,0.02796005,0.02825993,0.02838227
137,0.11781218,0.1153153,0.12301923,0.04640028,0.01643724,0.02855905,0.02795431,0.02843869,0.02852588,0.02715921
138,0.11632564,0.10907388,0.12189207,0.04067739,0.01433408,0.02387404,0.02609946,0.0271969,0.02443615,0.0271629
139,0.10887578,0.10380141,0.11637661,0.04231885,0.01318708,0.02394872,0.02289847,0.02409828,0.02608274,0.02641838
140,0.10601326,0.10053274,0.11109089,0.04005071,0.01257133,0.02303764,0.0242912,0.024826,0.02386524,0.02446444
141,0.10240138,0.10101837,0.1121823,0.03895457,0.01404002,0.02059368,0.02269509,0.02379063,0.02375791,0.02424483
142,0.10001874,0.0908572,0.10337102,0.03602335,0.01263245,0.02027138,0.02286894,0.02329069,0.02094216,0.02263164
143,0.09376896,0.09246941,0.09812644,0.03396599,0.01105261,0.01803939,0.02426879,0.02222638,0.01873139,0.02200195
144,0.09473355,0.09101319,0.09888673,0.03431326,0.01072617,0.01640531,0.02005871,0.01972359,0.02166228,0.02015564
145,0.08908682,0.08238507,0.09612629,0.03035304,0.00958874,0.01748559,0.02045694,0.01958611,0.01897177,0.01940118
146,0.08587037,0.07987329,0.09266439,0.03079974,0.00902983,0.01818998,0.02053635,0.01755033,0.02049919,0.01972652
147,0.08304927,0.07921876,0.0910449,0.03053923,0.00933954,0.01510196,0.01811978,0.01797825,0.01818596,0.01967166
148,0.07976384,0.07998308,0.08781317,0.02849577,0.00814405,0.01523114,0.01760124,0.01633227,0.01631257,0.0172732
149,0.07987049,0.07323541,0.0841596,0.02621014,0.00980479,0.01487374,0.01697201,0.0158499,0.01710417,0.01514523
150,0.07777126,0.07398944,0.07898823,0.02724052,0.0092266,0.01440325,0.01707365,0.01577639,0.01658312,0.01587046
151,0.07498891,0.06911619,0.0804133,0.02487318,0.0096758,0.01492787,0.01634275,0.01427793,0.01490078,0.01533822
152,0.07100872,0.06730482,0.07592331,0.02211332,0.00727687,0.012821,0.01503595,0.01263571,0.01303775,0.01269594
153,0.07118719,0.06597563,0.07642388,0.02443112,0.00735712,0.01251025,0.01611412,0.01461801,0.01550634,0.01351686
154,0.06820587,0.06465494,0.07103438,0.02218632,0.00698796,0.01117785,0.01411621,0.01428098,0.01206473,0.01193883
155,0.06408206,0.06051179,0.06863902,0.02333074,0.0057321,0.01025104,0.01411888,0.01307878,0.01251844,0.01220002
156,0.05827823,0.05721413,0.0655029,0.02065527,0.00532339,0.01131772,0.01290456,0.01163576,0.01319295,0.01225772
157,0.06205235,0.05666596,0.06447339,0.02002328,0.00577804,0.01161791,0.01122068,0.01139253,0.01246474,0.01175222
158,0.05817025,0.05496368,0.06384658,0.01828093,0.00600424,0.01100231,0.01168035,0.01125432,0.01067521,0.01036928
159,0.05699618,0.0519761,0.0641779,0.01937701,0.00548621,0.0101603,0.01069715,0.01051683,0.01214553,0.01144239
160,0.0543011,0.05230304,0.06092381,0.01825258,0.00632937,0.00941121,0.01083663,0.01072897,0.01022817,0.01054928
161,0.05291699,0.05163731,0.05900692,0.01711946,0.00473127,0.00868694,0.00961122,0.00863775,0.00885626,0.01066906
162,0.05218271,0.04681474,0.05528418,0.01626784,0.00503788,0.00737735,0.01073698,0.00992302,0.01043407,0.00942933
163,0.05268109,0.04822229,0.05333132,0.01437488,0.00529715,0.0077189,0.00975418,0.00968342,0.00884547,0.00910646
164,0.04635284,0.04510727,0.05255194,0.01474148,0.00460194,0.00774664,0.00954149,0.00808813,0.00837959,0.0077944
165,0.04914825,0.04483341,0.05121282,0.01460405,0.00348033,0.00743661,0.00912472,0.00935844,0.00820911,0.00821945
166,0.04429112,0.04250473,0.04946359,0.01329365,0.00330908,0.00622013,0.00850483,0.00742239,0.00732642,0.00841802
167,0.04493616,0.04126318,0.05086508,0.01298793,0.00334931,0.00706105,0.00788962,0.00735046,0.00736205,0.007544
168,0.04240879,0.039998,0.04520243,0.01361551,0.00357037,0.00711781,0.00721906,0.00762158,0.00775382,0.00843363
169,0.04284959,0.0391611,0.04752091,0.01219349,0.00355762,0.00643096,0.00749532,0.0070512,0.00739583,0.0072586
170,0.04142867,0.03748061,0.04149342,0.01235463,0.00371334,0.00577242,0.00715115,0.00715316,0.00677098,0.00682345
171,0.03942259,0.03749884,0.04228574,0.01235271,0.0031859,0.00636945,0.00701179,0.00769349,0.00661807,0.00688475
172,0.03900157,0.03512168,0.04224898,0.01098048,0.00315037,0.00534433,0.00636341,0.00669153,0.00649317,0.00709273
173,0.03809324,0.03406291,0.03983861,0.01014185,0.00267054,0.0055612,0.00719328,0.00605659,0.00688105,0.00616372
174,0.03587706,0.03442239,0.03972304,0.00966161,0.00269247,0.0050968,0.00651111,0.00556146,0.00550877,0.00618206
175,0.03704143,0.03269713,0.03795698,0.01043055,0.00207111,0.00471367,0.00633687,0.00533672,0.00548373,0.00611732
176,0.03526357,0.03348974,0.03916418,0.00900629,0.0022918,0.0047477,0.00552723,0.00583656,0.00531792,0.00612887
177,0.03285661,0.03141528,0.03760754,0.00954202,0.0022437,0.00433469,0.00622027,0.00559207,0.00527103,0.00500259
178,0.03180345,0.0305124,0.03741596,0.00993811,0.00203686,0.00441729,0.00608742,0.00515493,0.00526679,0.00571705
179,0.03126047,0.02907396,0.03577323,0.00876693,0.00250919,0.00430992,0.00515183,0.00511879,0.00477297,0.00543988
180,0.03044076,0.02929598,0.03423012,0.00842013,0.00192083,0.00387084,0.00480019,0.00476893,0.00488765,0.00465816
181,0.02941506,0.02799327,0.03224819,0.0081364,0.00188599,0.00366136,0.00508314,0.00451842,0.00431281,0.00433622
182,0.02955674,0.02814436,0.03177899,0.00849623,0.00234211,0.00411683,0.00512399,0.00447108,0.00447344,0.00518641
183,0.02967735,0.02875016,0.03322163,0.00773248,0.0021808,0.00387022,0.00444795,0.0046251,0.00569924,0.00430952
184,0.03054637,0.02652209,0.03199056,0.00738892,0.00175128,0.0047838,0.00447882,0.00451592,0.00440196,0.00412282
185,0.0296791,0.0277576,0.03030293,0.00797494,0.002346,0.0039081,0.0048163,0.00474496,0.00490719,0.00411171
186,0.0289381,0.02658896,0.03267451,0.00794138,0.00153298,0.00374959,0.00443735,0.00425757,0.00407971,0.00382546
187,0.02863051,0.02527262,0.03202025,0.00746369,0.00181275,0.00374105,0.00414388,0.00509292,0.00424379,0.0039367
188,0.02744096,0.02503877,0.03022177,0.00677569,0.00174233,0.00344742,0.0043068,0.00411403,0.00352585,0.00398703
189,0.02774509,0.02619616,0.02874081,0.00733692,0.00148993,0.00294255,0.00377763,0.0045412,0.00428486,0.00440124
190,0.02897013,0.02545543,0.02978385,0.00652281,0.00191286,0.00348996,0.00463419,0.0033298,0.00365906,0.004039
191,0.02683846,0.0244442,0.03044094,0.00694508,0.00173439,0.00278,0.00357453,0.00376183,0.0042716,0.00384425
192,0.02607827,0.0247126,0.02842996,0.00595386,0.00131471,0.00297829,0.0042715,0.00445163,0.00350359,0.00388168
193,0.02585396,0.02503207,0.02800622,0.00660403,0.00158593,0.00369001,0.00379348,0.00407912,0.00415082,0.00330893
194,0.02646142,0.02687014,0.03019102,0.0069109,0.00187464,0.00346169,0.00406083,0.00436745,0.00393362,0.00393258
195,0.02676834,0.0239557,0.02966148,0.00657472,0.00166667,0.00293482,0.00358576,0.00352511,0.00303741,0.00385865
196,0.02756163,0.02473898,0.02952737,0.00760337,0.00149038,0.0033789,0.00381517,0.0041911,0.00416266,0.00355271
197,0.02736179,0.02457481,0.02942362,0.00681512,0.00152492,0.00333914,0.003682,0.00359865,0.0037288,0.00363108
198,0.02689996,0.02332446,0.02701784,0.0076459,0.00126338,0.00324479,0.00383551,0.00355668,0.00334396,0.00378516
199,0.02656832,0.02492369,0.0283564,0.00642607,0.0015128,0.00299534,0.00409559,0.00379075,0.00295595,0.00362802
200,0.0249964,0.02361401,0.02751187,0.00613337,0.00155636,0.00296559,0.00345596,0.00367123,0.00347969,0.0031884
