epoch,silu_s_sigma0.01_train_loss,silu_s_sigma0.05_train_loss,silu_s_sigma0.1_train_loss,silu_s_sigma0.5_train_loss,silu_s_sigma1.0_train_loss,silu_s_sigma5.0_train_loss,silu_s_sigma10.0_train_loss,silu_s_sigma50.0_train_loss,silu_s_sigma100.0_train_loss,silu_s_sigma1000.0_train_loss
167,0.0501814,0.0453384,0.04389417,0.02667041,0.00630296,0.00411115,0.00603038,0.00821067,0.00831616,0.00628316
168,0.0474759,0.04576796,0.04763491,0.02566726,0.00699663,0.00580659,0.0069058,0.00760544,0.00753255,0.007057
169,0.04785612,0.04408675,0.0446649,0.02368219,0.00711467,0.00497711,0.00719221,0.00870695,0.00803245,0.00695169
170,0.0460393,0.04237806,0.0413919,0.02281231,0.00629376,0.0046684,0.00599688,0.00791418,0.00718274,0.00658429
171,0.04572362,0.04318529,0.04082638,0.02291377,0.00637554,0.00526743,0.00626003,0.00672839,0.00751963,0.00624621
172,0.04439497,0.04006057,0.04138227,0.02365546,0.00572193,0.00412196,0.00593352,0.00631539,0.00681253,0.00602836
173,0.04114544,0.04155129,0.03810999,0.02043205,0.00610906,0.00456393,0.00562719,0.00617438,0.00590198,0.0056736
174,0.04023128,0.03840977,0.03762873,0.02134405,0.00524406,0.00455874,0.00515028,0.00576083,0.00566092,0.00560339
175,0.03822576,0.03761886,0.03729931,0.02030579,0.00507068,0.00426401,0.00642772,0.00566575,0.00597458,0.00567168
176,0.03931055,0.03497524,0.03707234,0.02032672,0.00533626,0.00412618,0.00505251,0.00654146,0.00487804,0.00556057
177,0.03916791,0.03543294,0.03804614,0.0201494,0.00450712,0.00430179,0.00478833,0.00484333,0.00543966,0.00514623
178,0.03622283,0.03506576,0.03604103,0.01933356,0.00502466,0.0036966,0.00458665,0.00541623,0.00542312,0.00450491
179,0.03667739,0.03410399,0.03329606,0.01724743,0.00511266,0.00353511,0.00493038,0.0055672,0.00504522,0.00431994
180,0.03610327,0.03449288,0.03385984,0.01794154,0.00402152,0.00384347,0.00489869,0.00443343,0.00451028,0.0045535
181,0.03473634,0.03349037,0.03279344,0.0171958,0.00394152,0.00272325,0.00412456,0.00450238,0.00490799,0.00447029
182,0.03496665,0.03331357,0.03373579,0.01718523,0.00370412,0.0034129,0.00474378,0.00457749,0.00437244,0.00446161
183,0.03331564,0.03112464,0.03018813,0.01699903,0.00377338,0.00302274,0.00396462,0.00451638,0.00457979,0.00441045
184,0.03330848,0.03215309,0.03176842,0.01706399,0.00368222,0.00329733,0.00435388,0.00421303,0.00444504,0.00412932
185,0.03345148,0.03049931,0.02892262,0.01563596,0.00370826,0.00279761,0.00445331,0.00527897,0.00532682,0.00370154
186,0.03297317,0.02989984,0.03056822,0.01479822,0.00330073,0.00286479,0.00338063,0.00446639,0.00441059,0.00397751
187,0.03318879,0.03020546,0.03012986,0.01584013,0.00355122,0.00296022,0.00368327,0.00445208,0.00394572,0.00380337
188,0.03099598,0.02797478,0.02837039,0.01631462,0.00314811,0.00302146,0.00350522,0.00429313,0.00421604,0.00426558
189,0.03201329,0.02844487,0.02815771,0.01529725,0.00290023,0.00209209,0.00324771,0.00422768,0.0044326,0.00352824
190,0.0302811,0.02842509,0.02843289,0.01538466,0.00317143,0.00260109,0.00398766,0.00420083,0.0033191,0.00374307
191,0.03198295,0.02960978,0.02844264,0.0140898,0.00366917,0.00213107,0.00337878,0.00421014,0.00396806,0.00355252
192,0.02999801,0.02821718,0.02743227,0.01568034,0.00319003,0.00258013,0.00380433,0.00394878,0.0038385,0.00369246
193,0.03038644,0.02811701,0.02818393,0.01605542,0.00347816,0.002724,0.00352209,0.00394933,0.00353439,0.00398159
194,0.02942969,0.02960079,0.02738312,0.0151915,0.00304992,0.00240855,0.00355215,0.00385373,0.00404571,0.00354958
195,0.03015474,0.02723351,0.02700822,0.014832,0.00318855,0.00251197,0.0036485,0.00428834,0.00337358,0.003373
196,0.0303131,0.02864665,0.02690186,0.0147983,0.00307343,0.00234014,0.00365707,0.00406106,0.00390789,0.00374394
197,0.03061648,0.02741934,0.02856906,0.0151382,0.00374889,0.00281891,0.00317585,0.00447921,0.00389019,0.00375174
198,0.02935805,0.02831828,0.02734817,0.01484143,0.00267037,0.0025698,0.00336888,0.00421496,0.00383027,0.00331137
199,0.02870867,0.02919592,0.02845381,0.01377824,0.00292995,0.00229369,0.00314661,0.00421489,0.00375903,0.00324044
200,0.0299721,0.02784112,0.02661614,0.01479192,0.00321391,0.00263626,0.00414238,0.00431083,0.00386592,0.00314483
