epoch,gelu_s_sigma0.01_train_loss,gelu_s_sigma0.05_train_loss,gelu_s_sigma0.1_train_loss,gelu_s_sigma0.5_train_loss,gelu_s_sigma1.0_train_loss,gelu_s_sigma5.0_train_loss,gelu_s_sigma10.0_train_loss,gelu_s_sigma50.0_train_loss,gelu_s_sigma100.0_train_loss,gelu_s_sigma1000.0_train_loss
182,0.78301608,0.35520283,0.21033244,0.01270282,0.00818089,0.0145614,0.01559771,0.01482063,0.01644473,0.01616125
183,0.78251334,0.35391434,0.20726228,0.01212992,0.00726853,0.01315915,0.01440225,0.01599565,0.01468536,0.01778527
184,0.77735616,0.35261178,0.20694228,0.01182503,0.00736156,0.01306155,0.01407515,0.01487583,0.01564715,0.01650975
185,0.77868626,0.35561027,0.20502841,0.01164015,0.00773666,0.01258761,0.0151677,0.01549912,0.01674669,0.01631956
186,0.77755864,0.35479199,0.20477904,0.01056978,0.00665675,0.01363137,0.01573037,0.01362926,0.01452956,0.0155367
187,0.78270494,0.35184119,0.20533222,0.0120093,0.00646957,0.01121713,0.01302629,0.01441743,0.014772,0.01554735
188,0.77484673,0.35211121,0.20395458,0.01087776,0.00679554,0.0113075,0.01461343,0.01418702,0.01386077,0.01378101
189,0.77922416,0.34962972,0.20829006,0.01027448,0.00645868,0.01285242,0.01384196,0.01369148,0.01404247,0.01693902
190,0.77627338,0.34807816,0.20239635,0.01171151,0.00579126,0.01176065,0.01229696,0.01422288,0.01291016,0.01357285
191,0.77657847,0.34891611,0.20537402,0.01177196,0.00726441,0.01413747,0.01316596,0.01442618,0.01505589,0.01504111
192,0.7715,0.34593383,0.20260845,0.01223496,0.00693429,0.01307403,0.01216372,0.01409042,0.01409512,0.01422629
193,0.77813643,0.34895234,0.20514967,0.01035136,0.00511499,0.01233844,0.01364482,0.01491293,0.01326182,0.01529393
194,0.77872263,0.35137419,0.20216692,0.01195812,0.00720642,0.01173905,0.01422565,0.01449886,0.01480333,0.0156927
195,0.77872819,0.34741308,0.20333516,0.01084492,0.00613202,0.01070225,0.01263648,0.0136627,0.01432972,0.01549843
196,0.77870988,0.34709677,0.20407902,0.00976989,0.00657927,0.01185273,0.01333846,0.0120364,0.01185759,0.01544915
197,0.77908658,0.34818555,0.20404026,0.00999269,0.00671792,0.01223046,0.0134499,0.01284212,0.01470129,0.01505692
198,0.77198275,0.34644476,0.20061123,0.0102713,0.00614487,0.01267919,0.01291966,0.01281116,0.01399584,0.0139857
199,0.77364757,0.34995305,0.20277168,0.01203997,0.00716512,0.01201009,0.01253233,0.01328058,0.01292303,0.01520962
200,0.7768919,0.35200931,0.20151684,0.01015903,0.00656028,0.0125449,0.01258511,0.01262816,0.01396987,0.01344074
