epoch,zilu_sigma0.01_train_loss,zilu_sigma0.05_train_loss,zilu_sigma0.1_train_loss,zilu_sigma0.5_train_loss,zilu_sigma1.0_train_loss,zilu_sigma5.0_train_loss,zilu_sigma10.0_train_loss,zilu_sigma50.0_train_loss,zilu_sigma100.0_train_loss,zilu_sigma1000.0_train_loss
99,0.95011542,0.57267487,0.40199681,0.14034719,0.10057871,0.08055164,0.09064611,0.10381981,0.10028095,0.1043538
100,0.9462191,0.56827184,0.4007192,0.13639274,0.10057459,0.07705251,0.09165247,0.09644868,0.09651008,0.10221942
101,0.94249967,0.57231141,0.39692855,0.13658201,0.09966991,0.07818468,0.08616829,0.09893631,0.09651265,0.09908341
102,0.94802563,0.56934988,0.39641785,0.13488006,0.09783757,0.07231412,0.08692431,0.09563351,0.09796527,0.10005091
103,0.94515363,0.56554537,0.3903996,0.1330592,0.09292273,0.07179301,0.08441597,0.09145575,0.09319953,0.09696091
104,0.9457518,0.56105741,0.38875086,0.12721102,0.09080334,0.07014716,0.08337621,0.08903006,0.08706747,0.09377254
105,0.94170714,0.5614377,0.3878643,0.12795429,0.09138298,0.07084035,0.08374835,0.08981908,0.08889789,0.09188248
106,0.93804156,0.55476082,0.38231257,0.12315024,0.08759736,0.06782273,0.07888568,0.08772847,0.08592146,0.08874052
107,0.9317314,0.556912,0.38073923,0.12180085,0.08451454,0.0691719,0.07587117,0.08540773,0.08583739,0.08814744
108,0.93561775,0.54966156,0.37898099,0.11970424,0.08563709,0.06592065,0.07324451,0.0844442,0.08162701,0.08674376
109,0.92989404,0.54575535,0.37487635,0.1171647,0.08470293,0.06454164,0.07541261,0.08076357,0.08074107,0.08529434
110,0.92822498,0.54300737,0.37142491,0.11772399,0.08115029,0.06189383,0.07263773,0.08130773,0.08000288,0.08203855
111,0.92750718,0.54259612,0.37185003,0.11068713,0.08036011,0.0639984,0.07254519,0.07660995,0.07601038,0.08285496
112,0.93157218,0.54240498,0.36718886,0.10989588,0.07651847,0.05738224,0.06928798,0.0772187,0.07870836,0.07990934
113,0.92258667,0.534486,0.36101121,0.10906874,0.07670321,0.05676389,0.06650929,0.0772542,0.07521152,0.07885472
114,0.923805,0.53206796,0.3575612,0.10790402,0.07493942,0.05282667,0.06768906,0.07307997,0.07003823,0.07742627
115,0.9233478,0.53237247,0.35590922,0.10264617,0.07474781,0.05462279,0.06180199,0.07571552,0.07099661,0.07332407
116,0.92076935,0.52794709,0.35668868,0.10365117,0.07333386,0.05464725,0.06204145,0.07045014,0.07030487,0.07143789
117,0.9127957,0.5267869,0.35221677,0.10177271,0.07053863,0.05358514,0.06234439,0.07060141,0.06986786,0.07206041
118,0.91597462,0.52123641,0.34971567,0.10023599,0.06798748,0.05057708,0.06052698,0.06722864,0.06677959,0.06967316
119,0.92095018,0.52249292,0.34864857,0.09753545,0.06802419,0.05047675,0.05858387,0.06522568,0.06294008,0.07020403
120,0.91006325,0.51873709,0.34533789,0.09288493,0.06724254,0.0512084,0.06052326,0.06522473,0.06207022,0.06737379
121,0.9088622,0.51476008,0.33961704,0.09004842,0.06460951,0.04988453,0.05647786,0.06106023,0.06274335,0.06701234
122,0.91024576,0.51473664,0.34224479,0.09489367,0.06559846,0.04780469,0.05434944,0.06197866,0.06396674,0.06547287
123,0.90819581,0.50686249,0.33251409,0.08455854,0.0608775,0.04452238,0.05083377,0.06029738,0.05849702,0.0632949
124,0.91045566,0.50947374,0.33816339,0.08827957,0.0626927,0.04568471,0.05651334,0.06064496,0.05966726,0.06326602
125,0.90638924,0.50457136,0.33272225,0.08450565,0.05650054,0.04499759,0.04895295,0.05804989,0.05573014,0.05608993
126,0.90177349,0.50547307,0.32618913,0.08016041,0.05585396,0.04134307,0.05022467,0.05726068,0.0547466,0.05895382
127,0.90264099,0.4974927,0.32619512,0.07909058,0.05685004,0.04185059,0.04907394,0.05520091,0.05349643,0.05457739
128,0.89788322,0.50362648,0.32852638,0.07623505,0.05409608,0.03637964,0.04762518,0.05262598,0.05278017,0.05765818
129,0.896782,0.49570313,0.32503209,0.07649514,0.05161067,0.04022642,0.04641054,0.05332887,0.05012342,0.05598417
130,0.90035492,0.49383271,0.3191258,0.07894739,0.05314019,0.03770809,0.0442825,0.05259341,0.0504187,0.05255819
131,0.90191108,0.49378113,0.31771793,0.07388373,0.04862017,0.03787086,0.04286426,0.04972003,0.04869259,0.05175535
132,0.89680376,0.48973625,0.31682884,0.07201537,0.04792981,0.03657461,0.0416921,0.04756421,0.0496216,0.05222354
133,0.89776892,0.48642836,0.31123177,0.06856529,0.04418491,0.03391636,0.04107113,0.0459261,0.04705955,0.04899725
134,0.89277367,0.48780766,0.31064517,0.06878215,0.04783078,0.03299895,0.04138155,0.04668102,0.04573108,0.04862724
135,0.88754144,0.48254672,0.30634537,0.06901835,0.04608543,0.03386824,0.03796742,0.04326646,0.04470462,0.04640785
136,0.89213271,0.48276485,0.30882404,0.06410551,0.04596889,0.03265079,0.03994767,0.04463198,0.0449363,0.04675746
137,0.89073037,0.47722277,0.30435638,0.06296875,0.04304638,0.03048035,0.03724412,0.04360828,0.04235599,0.0428152
138,0.88521771,0.47414008,0.2991134,0.06090783,0.04092788,0.03252506,0.03639145,0.04417257,0.04146012,0.04301454
139,0.88045313,0.47528623,0.29951527,0.06169294,0.04136456,0.02982868,0.0379834,0.03913508,0.04090481,0.04113248
140,0.88053225,0.47106427,0.2954998,0.06023121,0.03986366,0.02805886,0.03869653,0.03950445,0.03925234,0.04087461
141,0.88140386,0.46750584,0.29349782,0.05764375,0.04183799,0.02862324,0.03363807,0.03880448,0.03946704,0.04119124
142,0.88153087,0.46678472,0.29583314,0.05713826,0.03882149,0.02651973,0.03156593,0.03965193,0.03797034,0.03871544
143,0.87833418,0.46624441,0.29169618,0.05678833,0.03713099,0.02742825,0.03141295,0.03652105,0.03681841,0.03857919
144,0.87675721,0.46390008,0.28678428,0.0560389,0.0333152,0.02490659,0.03074776,0.03527872,0.03372479,0.03911891
145,0.87413621,0.45824547,0.28445578,0.05173306,0.03423021,0.02535965,0.0336368,0.03552629,0.03546288,0.03687211
146,0.87291393,0.45963756,0.28473699,0.05191389,0.03592519,0.02537686,0.03045414,0.03353352,0.03504403,0.03352002
147,0.87632449,0.45539054,0.27692127,0.05012968,0.03112467,0.02372746,0.02880668,0.03282757,0.03060105,0.03374634
148,0.87337482,0.45457547,0.28217046,0.04945461,0.03234047,0.02230657,0.02661825,0.03161839,0.03220589,0.03381964
149,0.8766418,0.46018158,0.28106881,0.04946115,0.0329539,0.02167053,0.02744605,0.03342429,0.03150748,0.03386473
150,0.87082723,0.4529928,0.27940236,0.04913667,0.03037298,0.02064206,0.0267455,0.0301129,0.02790182,0.03301434
151,0.86866712,0.45287849,0.27510966,0.04704681,0.0314341,0.02135655,0.02496016,0.02938078,0.03203083,0.02967904
152,0.86991793,0.4514398,0.27181888,0.04736566,0.02855355,0.02007415,0.02368826,0.0288987,0.02787616,0.02863044
153,0.86830748,0.44761817,0.27098395,0.043788,0.02777428,0.01969904,0.02372637,0.02741444,0.02835387,0.03093289
154,0.86997602,0.44673671,0.27090802,0.04576729,0.02728709,0.01900779,0.0211873,0.03115544,0.02525392,0.02935186
155,0.86211466,0.44512894,0.267481,0.0427326,0.02745555,0.01846857,0.02132844,0.02690733,0.02701422,0.02806607
156,0.86795133,0.44347093,0.26953021,0.04194076,0.02332649,0.01804316,0.02260792,0.02442047,0.02693445,0.02648358
157,0.85917481,0.44245163,0.26582286,0.04110014,0.02508238,0.01749854,0.01925831,0.02499411,0.02643562,0.02561727
158,0.86101787,0.4393534,0.2586001,0.03848675,0.02475615,0.01646946,0.02064934,0.0261092,0.0221464,0.02397695
159,0.86010827,0.43788923,0.25892283,0.03827248,0.02376078,0.01415058,0.01823655,0.02386911,0.02248152,0.02549156
160,0.8549152,0.43401803,0.2584072,0.03617041,0.02198887,0.01502847,0.01876154,0.02259514,0.021947,0.02272861
161,0.85638948,0.4358559,0.25382489,0.03931121,0.02490137,0.01620433,0.02176227,0.02472155,0.02250798,0.02512651
162,0.85978521,0.43488456,0.25664773,0.03582519,0.02065913,0.01531345,0.01873001,0.02383382,0.02242956,0.0233022
163,0.85796465,0.4315659,0.25330282,0.03533819,0.02172184,0.0140166,0.01890898,0.02255393,0.02105651,0.02307029
164,0.85464455,0.42911778,0.25082145,0.03496133,0.02071447,0.01244809,0.01787488,0.02222906,0.02156408,0.02355053
165,0.85828725,0.43099758,0.2522152,0.03630879,0.02151869,0.01462865,0.01702183,0.02009748,0.02278742,0.02279353
166,0.85505975,0.42923361,0.2512175,0.03228762,0.02080068,0.01313502,0.016943,0.02029178,0.02059493,0.02229104
167,0.85549711,0.4296875,0.24923998,0.03160813,0.0205008,0.0127795,0.01742892,0.02020315,0.01974557,0.02165246
168,0.85754342,0.42464862,0.24780969,0.03175876,0.02161878,0.01424806,0.01525446,0.0188064,0.02012967,0.02189117
169,0.85043043,0.41929712,0.24759431,0.03153353,0.01795277,0.01171335,0.01527882,0.0182472,0.01987507,0.0200318
170,0.84803213,0.41922567,0.24480592,0.03061923,0.01867622,0.01249314,0.01473017,0.01832363,0.0190643,0.0209512
171,0.85110144,0.41997287,0.24035144,0.03036071,0.01714591,0.01285463,0.0159301,0.01808472,0.01646966,0.0187693
